429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
589,271,22/3/2020,6:00 PM,Andhra Pradesh,5,0,0,0,5
719,400,27/3/2020,10:00 AM,Gujarat,42,1,0,3,43
386,79,9/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
452,92,10/3/2020,6:00 PM,Maharashtra,5,0,0,0,5
632,265,21/3/2020,6:00 PM,Chandigarh,1,0,0,0,1
338,36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1
159,131,13/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
862,233,20/3/2020,6:00 PM,Haryana,3,14,0,0,17
731,322,24/3/2020,6:00 PM,Haryana,14,14,11,0,28
222,305,23/3/2020,6:00 PM,Odisha,2,0,0,0,2
587,80,9/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
319,162,15/3/2020,6:00 PM,Uttarakhand,1,0,0,0,1
118,71,8/3/2020,6:00 PM,Haryana,0,2,0,0,2
629,45,4/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
805,441,28/3/2020,6:00 PM,Rajasthan,52,2,3,0,54
836,243,20/3/2020,6:00 PM,Chandigarh,1,0,0,0,1
196,312,23/3/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
1,190,17/3/2020,6:00 PM,Ladakh,6,0,0,0,6
710,205,18/3/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
766,377,26/3/2020,6:00 PM,Karnataka,55,0,3,2,55
569,144,14/3/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2
916,431,28/3/2020,6:00 PM,Karnataka,55,0,3,2,55
910,178,17/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
653,291,22/3/2020,6:00 PM,Uttar Pradesh,26,1,9,0,27
348,255,21/3/2020,6:00 PM,Karnataka,15,0,1,1,15
951,425,28/3/2020,6:00 PM,Delhi,38,1,6,1,39
227,280,22/3/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
170,364,25/3/2020,6:00 PM,Uttarakhand,3,1,0,0,4
955,22,20/2/2020,6:00 PM,Kerala,3,0,0,0,3
640,286,22/3/2020,6:00 PM,Tamil Nadu,5,2,1,0,7
172,62,7/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
610,325,24/3/2020,6:00 PM,Kerala,87,8,4,0,95
792,218,19/3/2020,6:00 PM,Puducherry,1,0,0,0,1
631,72,8/3/2020,6:00 PM,Delhi,3,0,0,0,3
